size, number of comparisions
30,148
50,293
70,435
90,606
110,761
130,930
150,1122
170,1300
190,1476
210,1661
230,1850
250,2026
270,2224
290,2425
310,2631
330,2818
350,3012
370,3242
390,3441
410,3605
