size, number of comparisions
30,123
50,234
70,358
90,495
110,626
130,777
150,915
170,1072
190,1222
210,1393
230,1545
250,1710
270,1872
290,2028
310,2228
330,2385
350,2581
370,2747
390,2934
410,3091
