size, number of comparisions
30,460
50,1252
70,2448
90,4033
110,6020
130,8400
150,11183
170,14357
190,17934
210,21918
230,26283
250,31050
270,36214
290,41761
310,47726
330,54075
350,60818
370,67965
390,75500
410,83431
