size, number of comparisions
30,148
50,286
70,432
90,592
110,752
130,914
150,1094
170,1274
190,1454
210,1634
230,1814
250,1994
270,2188
290,2388
310,2588
330,2788
350,2988
370,3188
390,3388
410,3588
